category,qtext,option_a,option_b,option_c,option_d,correct_option,marks
Option 1,"[basic] In in web development, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 2,"[intermediate] In in web development, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 3,"[advanced] In in web development, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 4,"[basic] In in backend development, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 5,"[intermediate] In in backend development, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 1,"[advanced] In in backend development, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 2,"[basic] In in data processing, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 3,"[intermediate] In in data processing, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 4,"[advanced] In in data processing, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 5,"[basic] In in API development, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 1,"[intermediate] In in API development, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 2,"[advanced] In in API development, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 3,"[basic] In in database design, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 4,"[intermediate] In in database design, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 5,"[advanced] In in database design, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 1,"[basic] In in software testing, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 2,"[intermediate] In in software testing, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 3,"[advanced] In in software testing, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 4,"[basic] In in real-world projects, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 5,"[intermediate] In in real-world projects, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 1,"[advanced] In in real-world projects, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 2,"[basic] In for performance, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 3,"[intermediate] In for performance, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 4,"[advanced] In for performance, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 5,"[basic] In for security, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 1,"[intermediate] In for security, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 2,"[advanced] In for security, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 3,"[basic] In for maintainability, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 4,"[intermediate] In for maintainability, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 5,"[advanced] In for maintainability, what is the main purpose of lists?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 1,"[basic] In in web development, what is the main purpose of tuples?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 2,"[intermediate] In in web development, what is the main purpose of tuples?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 3,"[advanced] In in web development, what is the main purpose of tuples?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 4,"[basic] In in backend development, what is the main purpose of tuples?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 5,"[intermediate] In in backend development, what is the main purpose of tuples?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 1,"[advanced] In in backend development, what is the main purpose of tuples?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 2,"[basic] In in data processing, what is the main purpose of tuples?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 3,"[intermediate] In in data processing, what is the main purpose of tuples?",To style UI,To manage data/logic,To create images,To replace databases,B,1
Option 4,"[advanced] In in data processing, what is the main purpose of tuples?",To style UI,To manage data/logic,To create images,To replace databases,B,1
